start,end,provider
2160000,2169999,GTTG
2170000,2170999,GTTG
2171000,2171999,GTTG
2180000,2189999,GTTG
2190000,2199999,GTTG
2200000,2209999,GTTG
2212000,2212999,GTTG
2213000,2213999,GTTG
2214000,2214999,GTTG
2220000,2229999,GTTG
2230000,2239999,GTTG
2250000,2259999,GTTG
2260000,2269999,GTTG
2270000,2279999,GTTG
2280000,2280999,GTTG
2281000,2281999,GTTG
2282000,2282999,GTTG
2283000,2283999,GTTG
2284000,2284999,GTTG
2285000,2285999,GTTG
2286000,2286999,GTTG
2291000,2291999,GTTG
2292000,2292999,GTTG
2293000,2293999,GTTG
2294000,2294999,GTTG
2295000,2295999,GTTG
2296000,2296999,GTTG
2297000,2297999,GTTG
2298000,2298999,GTTG
2310000,2319999,GTTG
2320000,2320999,GTTG
2321000,2321999,GTTG
2322000,2322999,GTTG
2323000,2323999,GTTG
2324000,2324999,GTTG
2329000,2329999,GTTG
2330000,2330999,GTTG
2331000,2331999,GTTG
2332000,2332999,GTTG
2333000,2333999,GTTG
2334000,2334999,GTTG
2335000,2335999,GTTG
2336000,2336999,GTTG
2337000,2337999,GTTG
2340000,2340999,GTTG
2341000,2341999,GTTG
2342000,2342999,GTTG
2530000,2530999,GTTG
2531000,2531999,GTTG
2532000,2532999,GTTG
2533000,2533999,GTTG
2534000,2534999,GTTG
2535000,2535999,GTTG
2540000,2540999,GTTG
2541000,2541999,GTTG
2542000,2542999,GTTG
2550000,2550999,GTTG
2551000,2551999,GTTG
2552000,2552999,GTTG
2553000,2553999,GTTG
2554000,2554999,GTTG
2560000,2560999,GTTG
2561000,2561999,GTTG
2562000,2562999,GTTG
2563000,2563999,GTTG
2564000,2564999,GTTG
2565000,2565999,GTTG
2570000,2570999,GTTG
2571000,2571999,GTTG
2572000,2572999,GTTG
2573000,2573999,GTTG
2574000,2574999,GTTG
2580000,2580999,GTTG
2581000,2581999,GTTG
2582000,2582999,GTTG
2583000,2583999,GTTG
2584000,2584999,GTTG
2590000,2590999,GTTG
2591000,2591999,GTTG
2592000,2592999,GTTG
2593000,2593999,GTTG
2594000,2594999,GTTG
2600000,2600999,GTTG
2601000,2601999,GTTG
2602000,2602999,GTTG
2603000,2603999,GTTG
2604000,2604999,GTTG
2605000,2605999,GTTG
2606000,2606999,GTTG
2610000,2619999,GTTG
2620000,2620999,GTTG
2621000,2621999,GTTG
2622000,2622999,GTTG
2630000,2630999,GTTG
2631000,2631999,GTTG
2632000,2632999,GTTG
2633000,2633999,GTTG
2634000,2634999,GTTG
2635000,2635999,GTTG
2636000,2636999,GTTG
2637000,2637999,GTTG
2640000,2640999,GTTG
2641000,2641999,GTTG
2642000,2642999,GTTG
2643000,2643999,GTTG
2644000,2644999,GTTG
2650000,2650999,GTTG
2651000,2651999,GTTG
2652000,2652999,GTTG
2653000,2653999,GTTG
2654000,2654999,GTTG
2655000,2655999,GTTG
2656000,2656999,GTTG
2657000,2657999,GTTG
2658000,2658999,GTTG
2660000,2660999,GTTG
2661000,2661999,GTTG
2662000,2662999,GTTG
2663000,2663999,GTTG
2664000,2664999,GTTG
2665000,2665999,GTTG
2666000,2666999,GTTG
2667000,2667999,GTTG
2670000,2670999,GTTG
2671000,2671999,GTTG
2672000,2672999,GTTG
2673000,2673999,GTTG
2680000,2680999,GTTG
2681000,2681999,GTTG
2682000,2682999,GTTG
2683000,2683999,GTTG
2684000,2684999,GTTG
2685000,2685999,GTTG
2690000,2690999,GTTG
2691000,2691999,GTTG
2692000,2692999,GTTG
2700000,2709999,GTTG
2710000,2719999,GTTG
2720000,2720999,GTTG
2721000,2721999,GTTG
2722000,2722999,GTTG
2731000,2731999,GTTG
